barcode,Xcoord,Ycoord,Zcoord
cell122,2554.9545454545455,674.2272727272727,0
cell123,3104.189393939394,167.61363636363637,0
cell124,2313.0,988.3823529411765,0
cell125,2765.6470588235293,499.0504201680672,0
cell126,1541.6829268292684,1725.4268292682927,0
cell127,1900.6338028169014,1411.3309859154929,0
cell128,2295.7727272727275,1010.3181818181819,0
cell131,2868.5,398.80434782608694,0
cell132,1762.5222222222221,1508.3111111111111,0
cell133,2626.3125,714.875,0
cell134,1681.5298507462687,1568.5223880597016,0
cell135,1801.3333333333333,1480.4444444444443,0
cell136,2949.925925925926,367.85925925925926,0
cell137,1640.3157894736842,1695.842105263158,0
cell138,3087.6941176470586,239.24705882352941,0
cell139,3259.61797752809,21.8876404494382,0
cell140,1623.7868852459017,1697.049180327869,0
cell141,2817.9926470588234,498.4632352941176,0
cell142,3147.458128078818,89.00492610837438,0
cell143,3189.370731707317,120.3170731707317,0
cell144,1598.408163265306,1715.8367346938776,0
cell145,2751.3809523809523,571.9761904761905,0
cell146,2882.076923076923,505.15384615384613,0
cell147,3044.4210526315787,299.86842105263156,0
cell148,1841.695652173913,1486.7391304347825,0
cell149,1688.5333333333333,1631.3333333333333,0
cell151,2928.114285714286,345.48571428571427,0
cell152,1795.6511627906978,1582.7906976744187,0
cell153,1768.030303030303,1608.3030303030303,0
cell155,3070.5,295.1333333333333,0
cell156,2985.171171171171,316.44144144144144,0
cell157,2891.017094017094,433.1666666666667,0
cell158,2079.6206896551726,1329.9310344827586,0
cell159,3330.121212121212,37.35353535353536,0
cell160,1587.943661971831,1788.0281690140846,0
cell161,1720.68345323741,1643.3381294964029,0
cell162,2868.0666666666666,569.6666666666666,0
cell163,3121.8846153846152,287.4230769230769,0
cell164,2963.764,488.8946666666667,0
cell165,1695.2,1750.5428571428572,0
cell166,1642.75,1730.75,0
cell167,3300.6889763779527,126.39763779527559,0
cell168,1852.5739130434783,1550.6173913043478,0
cell169,2619.4222222222224,795.4962962962964,0
cell170,3215.8447653429603,198.8880866425993,0
cell171,1534.5197740112994,1893.2372881355932,0
cell173,1697.3152709359606,1712.8916256157636,0
cell174,1491.1914893617022,1977.9574468085107,0
cell175,1560.221052631579,1821.6631578947367,0
cell176,3270.8142857142857,137.28571428571428,0
cell177,1657.0873786407767,1779.0582524271845,0
cell178,2853.1666666666665,531.9305555555555,0
cell179,1438.75,2037.7241379310344,0
cell180,2704.6545454545453,750.9909090909091,0
cell181,2135.9444444444443,1254.638888888889,0
cell182,2650.5438596491226,727.719298245614,0
cell183,3123.9473684210525,360.5438596491228,0
cell184,2124.864077669903,1362.6699029126214,0
cell185,3454.163636363636,28.545454545454547,0
cell186,3405.6666666666665,35.357142857142854,0
cell187,1863.0740740740741,1619.6296296296296,0
cell189,2626.3464566929133,851.6692913385826,0
cell191,2065.5,1410.9024390243903,0
cell192,1802.4426229508197,1688.8469945355191,0
cell193,2019.9268292682927,1471.4146341463415,0
cell194,2782.972972972973,731.2702702702703,0
cell195,2594.328125,937.640625,0
cell196,3272.4415584415583,266.038961038961,0
cell197,1820.1818181818182,1752.090909090909,0
